state,county,d_date,total
nebraska,loup,2020-04-25 00:00:00 +0000 UTC,1
oklahoma,cimarron,2020-05-02 00:00:00 +0000 UTC,1
illinois,hardin,2020-05-02 00:00:00 +0000 UTC,1
kentucky,hickman,2020-05-02 00:00:00 +0000 UTC,1
minnesota,pennington,2020-05-02 00:00:00 +0000 UTC,1
texas,brooks,2020-05-02 00:00:00 +0000 UTC,1
kansas,clark,2020-05-02 00:00:00 +0000 UTC,1
texas,cochran,2020-05-02 00:00:00 +0000 UTC,1
arkansas,fulton,2020-05-02 00:00:00 +0000 UTC,1
new mexico,harding,2020-05-02 00:00:00 +0000 UTC,1
kansas,kiowa,2020-05-02 00:00:00 +0000 UTC,1
wisconsin,vernon,2020-05-02 00:00:00 +0000 UTC,1
montana,wheatland,2020-05-02 00:00:00 +0000 UTC,1
nebraska,arthur,2020-04-25 00:00:00 +0000 UTC,1
idaho,lemhi,2020-05-02 00:00:00 +0000 UTC,1
north carolina,madison,2020-05-02 00:00:00 +0000 UTC,1
south dakota,mcpherson,2020-05-02 00:00:00 +0000 UTC,1
colorado,san juan,2020-04-26 00:00:00 +0000 UTC,1
west virginia,calhoun,2020-05-02 00:00:00 +0000 UTC,1
iowa,emmet,2020-04-26 00:00:00 +0000 UTC,1
south dakota,hand,2020-05-02 00:00:00 +0000 UTC,1
north dakota,ransom,2020-05-02 00:00:00 +0000 UTC,1
alaska,sitka city and borough,2020-05-02 00:00:00 +0000 UTC,1
south dakota,douglas,2020-05-02 00:00:00 +0000 UTC,1
oklahoma,pushmataha,2020-05-02 00:00:00 +0000 UTC,1
nebraska,valley,2020-05-02 00:00:00 +0000 UTC,1
south dakota,buffalo,2020-05-02 00:00:00 +0000 UTC,1
north carolina,graham,2020-05-02 00:00:00 +0000 UTC,1
oregon,harney,2020-05-02 00:00:00 +0000 UTC,1
kentucky,metcalfe,2020-05-02 00:00:00 +0000 UTC,1
arkansas,montgomery,2020-05-02 00:00:00 +0000 UTC,1
kansas,nemaha,2020-05-02 00:00:00 +0000 UTC,1
kentucky,owen,2020-05-02 00:00:00 +0000 UTC,1
minnesota,wadena,2020-05-02 00:00:00 +0000 UTC,1
iowa,davis,2020-05-02 00:00:00 +0000 UTC,1
kansas,elk,2020-05-02 00:00:00 +0000 UTC,1
nebraska,frontier,2020-05-02 00:00:00 +0000 UTC,1
north carolina,hyde,2020-05-02 00:00:00 +0000 UTC,1
new mexico,sierra,2020-05-02 00:00:00 +0000 UTC,1
montana,fergus,2020-05-02 00:00:00 +0000 UTC,1
texas,glasscock,2020-05-02 00:00:00 +0000 UTC,1
kansas,harper,2020-05-02 00:00:00 +0000 UTC,1
nebraska,hitchcock,2020-05-02 00:00:00 +0000 UTC,1
kansas,washington,2020-05-02 00:00:00 +0000 UTC,1
texas,brewster,2020-05-02 00:00:00 +0000 UTC,1
illinois,brown,2020-05-02 00:00:00 +0000 UTC,1
iowa,calhoun,2020-05-02 00:00:00 +0000 UTC,1
iowa,decatur,2020-05-01 00:00:00 +0000 UTC,1
south dakota,dewey,2020-05-02 00:00:00 +0000 UTC,1
iowa,floyd,2020-05-02 00:00:00 +0000 UTC,1
minnesota,kanabec,2020-05-02 00:00:00 +0000 UTC,1
wisconsin,lincoln,2020-05-02 00:00:00 +0000 UTC,1
kansas,norton,2020-05-02 00:00:00 +0000 UTC,1
north dakota,renville,2020-05-02 00:00:00 +0000 UTC,1
iowa,sac,2020-05-02 00:00:00 +0000 UTC,1
iowa,wayne,2020-05-02 00:00:00 +0000 UTC,1
texas,briscoe,2020-05-02 00:00:00 +0000 UTC,1
texas,coleman,2020-05-02 00:00:00 +0000 UTC,1
minnesota,grant,2020-05-02 00:00:00 +0000 UTC,1
nebraska,hooker,2020-05-02 00:00:00 +0000 UTC,1
nebraska,keith,2020-05-02 00:00:00 +0000 UTC,1
washington,lincoln,2020-05-02 00:00:00 +0000 UTC,2
wisconsin,wood,2020-05-02 00:00:00 +0000 UTC,2
nebraska,knox,2020-05-02 00:00:00 +0000 UTC,2
texas,crane,2020-05-02 00:00:00 +0000 UTC,2
new mexico,san miguel,2020-05-02 00:00:00 +0000 UTC,2
north dakota,pierce,2020-05-02 00:00:00 +0000 UTC,2
kansas,jackson,2020-05-02 00:00:00 +0000 UTC,2
iowa,kossuth,2020-05-02 00:00:00 +0000 UTC,2
idaho,valley,2020-05-02 00:00:00 +0000 UTC,2
minnesota,big stone,2020-05-02 00:00:00 +0000 UTC,2
michigan,chippewa,2020-05-02 00:00:00 +0000 UTC,2
colorado,huerfano,2020-05-02 00:00:00 +0000 UTC,2
montana,jefferson,2020-05-02 00:00:00 +0000 UTC,2
idaho,fremont,2020-05-02 00:00:00 +0000 UTC,2
texas,gaines,2020-05-02 00:00:00 +0000 UTC,2
tennessee,lewis,2020-05-02 00:00:00 +0000 UTC,2
idaho,custer,2020-05-02 00:00:00 +0000 UTC,2
wyoming,hot springs,2020-05-02 00:00:00 +0000 UTC,2
texas,martin,2020-05-02 00:00:00 +0000 UTC,2
minnesota,sibley,2020-05-02 00:00:00 +0000 UTC,2
tennessee,unicoi,2020-05-02 00:00:00 +0000 UTC,2
missouri,atchison,2020-05-02 00:00:00 +0000 UTC,2
wisconsin,iron,2020-05-02 00:00:00 +0000 UTC,2
minnesota,mahnomen,2020-05-02 00:00:00 +0000 UTC,2
west virginia,pleasants,2020-05-02 00:00:00 +0000 UTC,2
kentucky,carroll,2020-05-02 00:00:00 +0000 UTC,2
minnesota,clearwater,2020-05-02 00:00:00 +0000 UTC,2
south dakota,hamlin,2020-05-02 00:00:00 +0000 UTC,2
arkansas,arkansas,2020-05-02 00:00:00 +0000 UTC,2
texas,franklin,2020-05-02 00:00:00 +0000 UTC,2
colorado,mineral,2020-05-02 00:00:00 +0000 UTC,2
california,alpine,2020-05-02 00:00:00 +0000 UTC,2
texas,aransas,2020-05-02 00:00:00 +0000 UTC,2
iowa,audubon,2020-05-02 00:00:00 +0000 UTC,2
arizona,greenlee,2020-05-02 00:00:00 +0000 UTC,2
michigan,houghton,2020-05-02 00:00:00 +0000 UTC,2
missouri,livingston,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,love,2020-05-02 00:00:00 +0000 UTC,2
missouri,macon,2020-05-02 00:00:00 +0000 UTC,2
missouri,maries,2020-05-02 00:00:00 +0000 UTC,2
missouri,reynolds,2020-05-02 00:00:00 +0000 UTC,2
wisconsin,ashland,2020-05-02 00:00:00 +0000 UTC,2
minnesota,traverse,2020-05-02 00:00:00 +0000 UTC,2
indiana,unknown,2020-04-01 00:00:00 +0000 UTC,2
missouri,gasconade,2020-05-02 00:00:00 +0000 UTC,2
